##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	subsampled_R2.fastq.gz
1104	95-99	-0.09160420123357227
1104	100-104	-0.39409614822341155
1104	105-109	-0.03386984038250063
1104	110-114	-0.15520561030653823
1104	115-119	-0.2280635591939415
1104	120-124	-0.10512668158477823
1104	125-129	0.015362426170462129
1104	130-134	-0.08258325123530597
1104	135-139	-0.22039591016749682
1104	140-144	-0.15912752407294306
1104	145-149	-0.12037351606475966
1104	150	0.054730729384210974
1105	1	-0.23910809348365802
1105	2	-0.9064307828713964
1105	3	-0.14498995999252173
1105	4	-0.4551828478987261
1105	5	-0.19814541495263427
1105	6	-0.35313477861148357
1105	7	-0.2543513381456819
1105	8	-0.12977057030300898
1105	9	-0.18418741011186057
1105	10-14	-0.4419038397624604
1105	15-19	-0.3865978659607521
1105	20-24	-0.014865207825074833
1105	25-29	-0.48877266760438687
1105	30-34	-0.2972612306691431
1105	35-39	-0.1850141774586831
1105	40-44	-0.2733920207109719
1105	45-49	-0.4852612410685353
1105	50-54	-0.4555403596958456
1105	55-59	-0.5101228155501403
1105	60-64	-0.41016944859305227
1105	65-69	-0.3930827774540617
1105	70-74	-0.5436464047717067
1105	75-79	-0.36019740011526835
1105	80-84	-0.4633590847917972
1105	85-89	-0.4127255297663268
1105	90-94	-0.5147839507207976
1105	95-99	-0.5663558084807931
1105	100-104	-0.1692568729457946
1105	105-109	-0.2938932185239338
1105	110-114	-0.36651478622705724
1105	115-119	0.02272545307958751
1105	120-124	-0.4861611643434074
1105	125-129	-0.40281407879739106
1105	130-134	-0.05783164398807372
1105	135-139	-0.5383678563977696
1105	140-144	-0.17902816697183255
1105	145-149	-0.35769087433477864
1105	150	-0.24334057394717235
1106	1	-0.1431205459222582
1106	2	0.23525029633994876
1106	3	-0.43004703366945307
1106	4	-0.2549407171481235
1106	5	0.0982572138955149
1106	6	-0.5101738654326482
1106	7	-0.4848252226147238
1106	8	-0.027383852904179662
1106	9	0.05476105062836467
1106	10-14	-0.14105984114606684
1106	15-19	-0.0895795332039171
1106	20-24	0.11145786377645095
1106	25-29	-0.2418615641799633
1106	30-34	-0.20584649528346688
1106	35-39	0.029624355920766732
1106	40-44	-0.10475832994654155
1106	45-49	-0.21391568589731946
1106	50-54	-0.29798242126623364
1106	55-59	-0.09809237625577794
1106	60-64	-0.1803527761613637
1106	65-69	-0.4948952990728728
1106	70-74	-0.23848556077308558
1106	75-79	-0.24212752809866345
1106	80-84	-0.2978039135707746
1106	85-89	-0.3905255989465459
1106	90-94	-0.19304060931644074
1106	95-99	-3.163757585582516E-4
1106	100-104	-0.4885789068440971
1106	105-109	-0.38626955889059644
1106	110-114	-0.38244698961688073
1106	115-119	-0.4204914268927453
1106	120-124	-0.20371218475156638
1106	125-129	-0.6052146322390968
1106	130-134	-0.7304016889552187
1106	135-139	-0.2950264520394157
1106	140-144	-0.3618368836788477
1106	145-149	-0.6865874499141569
1106	150	-0.8865782079838382
1107	1	-0.17793447149248465
1107	2	-0.3287352978977438
1107	3	-0.1289666014965789
1107	4	-0.06670542303047
1107	5	-0.08085443076234355
1107	6	0.2953483434509039
1107	7	0.3343824604585066
1107	8	-0.29028901496901227
1107	9	-0.18461469967175503
1107	10-14	-0.159451197688675
1107	15-19	-0.3328448393263699
1107	20-24	-0.27149531749606126
1107	25-29	-0.2619816121991718
1107	30-34	-0.2649581399413279
1107	35-39	-0.346558117068426
1107	40-44	-0.21203323991052514
1107	45-49	-0.3090897555251715
1107	50-54	-0.6473221571606018
1107	55-59	-0.30270222019334625
1107	60-64	-0.2771114796427554
1107	65-69	-0.5470921778243749
1107	70-74	-0.2859765571716508
1107	75-79	-0.5354288486268786
1107	80-84	-0.6523777431025763
1107	85-89	-0.37832872019504293
1107	90-94	-0.21354481099710654
1107	95-99	-0.2607725582315439
1107	100-104	-0.6731167219701462
1107	105-109	-0.08869452887858387
1107	110-114	-0.42076631734797587
1107	115-119	-0.15167990228290051
1107	120-124	-0.1769174668644169
1107	125-129	-0.5839421232355022
1107	130-134	-0.28358296146422646
1107	135-139	-0.47317771254361674
1107	140-144	-0.2677192366200316
1107	145-149	-0.34310605735713295
1107	150	-0.45584591506666783
